    T(GeV)          p(GeV)     A(p,T)(1/fm)
  0.2000000       10.40000      4.5460481E-02
  0.2000000       10.60000      4.4779461E-02
  0.2000000       10.80000      4.4130620E-02
  0.2000000       11.00000      4.3511625E-02
  0.2000000       11.20000      4.2920340E-02
  0.2000000       11.40000      4.2354926E-02
  0.2000000       11.60000      4.1813586E-02
  0.2000000       11.80000      4.1294754E-02
  0.2000000       12.00000      4.0796980E-02
  0.2000000       12.20000      4.0318944E-02
  0.2000000       12.40000      3.9859459E-02
  0.2000000       12.60000      3.9417386E-02
  0.2000000       12.80000      3.8991708E-02
  0.2000000       13.00000      3.8581461E-02
  0.2000000       13.20000      3.8185805E-02
  0.2000000       13.40000      3.7803933E-02
  0.2000000       13.60000      3.7435070E-02
  0.2000000       13.80000      3.7078541E-02
  0.2000000       14.00000      3.6733706E-02
  0.2000000       14.20000      3.6399942E-02
  0.2000000       14.40000      3.6076739E-02
  0.2000000       14.60000      3.5763521E-02
  0.2000000       14.80000      3.5459828E-02
  0.2000000       15.00000      3.5165220E-02
  0.2000000       15.20000      3.4879252E-02
  0.2000000       15.40000      3.4601539E-02
  0.2000000       15.60000      3.4331702E-02
  0.2000000       15.80000      3.4069370E-02
  0.2000000       16.00000      3.3814210E-02
  0.2000000       16.20000      3.3565972E-02
  0.2000000       16.40000      3.3324290E-02
  0.2000000       16.60000      3.3088941E-02
  0.2000000       16.80000      3.2859635E-02
  0.2000000       17.00000      3.2636132E-02
  0.2000000       17.20000      3.2418199E-02
  0.2000000       17.40000      3.2205615E-02
  0.2000000       17.60000      3.1998165E-02
  0.2000000       17.80000      3.1795692E-02
  0.2000000       18.00000      3.1597950E-02
  0.2000000       18.20000      3.1404804E-02
  0.2000000       18.40000      3.1216072E-02
  0.2000000       18.60000      3.1031579E-02
  0.2000000       18.80000      3.0851206E-02
  0.2000000       19.00000      3.0674789E-02
  0.2000000       19.20000      3.0502165E-02
  0.2000000       19.40000      3.0333243E-02
  0.2000000       19.60000      3.0167868E-02
  0.2000000       19.80000      3.0005947E-02
  0.2000000       20.00000      2.9847343E-02
  0.2000000       20.20000      2.9691957E-02
  0.2000000       20.40000      2.9539691E-02
  0.2000000       20.60000      2.9390423E-02
  0.2000000       20.80000      2.9244082E-02
  0.2000000       21.00000      2.9100576E-02
  0.2000000       21.20000      2.8959801E-02
  0.2000000       21.40000      2.8821675E-02
  0.2000000       21.60000      2.8686119E-02
  0.2000000       21.80000      2.8553076E-02
  0.2000000       22.00000      2.8422454E-02
  0.2000000       22.20000      2.8294176E-02
  0.2000000       22.40000      2.8168194E-02
  0.2000000       22.60000      2.8044429E-02
  0.2000000       22.80000      2.7922813E-02
  0.2000000       23.00000      2.7803309E-02
  0.2000000       23.20000      2.7685808E-02
  0.2000000       23.40000      2.7570322E-02
  0.2000000       23.60000      2.7456749E-02
  0.2000000       23.80000      2.7345061E-02
  0.2000000       24.00000      2.7235206E-02
  0.2000000       24.20000      2.7127117E-02
  0.2000000       24.40000      2.7020751E-02
  0.2000000       24.60000      2.6916090E-02
  0.2000000       24.80000      2.6813069E-02
  0.2000000       25.00000      2.6711641E-02
  0.2000000       25.20000      2.6611788E-02
  0.2000000       25.40000      2.6513448E-02
  0.2000000       25.60000      2.6416590E-02
  0.2000000       25.80000      2.6321180E-02
  0.2000000       26.00000      2.6227204E-02
  0.2000000       26.20000      2.6134582E-02
  0.2000000       26.40000      2.6043329E-02
  0.2000000       26.60000      2.5953379E-02
  0.2000000       26.80000      2.5864717E-02
  0.2000000       27.00000      2.5777301E-02
  0.2000000       27.20000      2.5691124E-02
  0.2000000       27.40000      2.5606146E-02
  0.2000000       27.60000      2.5522327E-02
  0.2000000       27.80000      2.5439661E-02
  0.2000000       28.00000      2.5358114E-02
  0.2000000       28.20000      2.5277657E-02
  0.2000000       28.40000      2.5198285E-02
  0.2000000       28.60000      2.5119951E-02
  0.2000000       28.80000      2.5042634E-02
  0.2000000       29.00000      2.4966331E-02
  0.2000000       29.20000      2.4891021E-02
  0.2000000       29.40000      2.4816647E-02
  0.2000000       29.60000      2.4743231E-02
  0.2000000       29.80000      2.4670733E-02
  0.2000000       30.00000      2.4599141E-02
  0.2200000      0.0000000E+00  0.2568898    
  0.2200000      0.2000000      0.2554260    
  0.2200000      0.4000000      0.2535113    
  0.2200000      0.6000000      0.2489000    
  0.2200000      0.8000000      0.2401147    
  0.2200000       1.000000      0.2309995    
  0.2200000       1.200000      0.2220202    
  0.2200000       1.400000      0.2126517    
  0.2200000       1.600000      0.2032790    
  0.2200000       1.800000      0.1940888    
  0.2200000       2.000000      0.1851831    
  0.2200000       2.200000      0.1766866    
  0.2200000       2.400000      0.1686772    
  0.2200000       2.600000      0.1611686    
  0.2200000       2.800000      0.1541505    
  0.2200000       3.000000      0.1475990    
  0.2200000       3.200000      0.1414959    
  0.2200000       3.400000      0.1358147    
  0.2200000       3.600000      0.1305324    
  0.2200000       3.800000      0.1256144    
  0.2200000       4.000000      0.1210344    
  0.2200000       4.200000      0.1167635    
  0.2200000       4.400000      0.1127772    
  0.2200000       4.600000      0.1090487    
  0.2200000       4.800000      0.1055606    
  0.2200000       5.000000      0.1022923    
  0.2200000       5.200000      9.9222884E-02
  0.2200000       5.400000      9.6339256E-02
  0.2200000       5.600000      9.3625791E-02
  0.2200000       5.800000      9.1066487E-02
  0.2200000       6.000000      8.8651389E-02
  0.2200000       6.200000      8.6367428E-02
  0.2200000       6.400000      8.4205389E-02
  0.2200000       6.600000      8.2156934E-02
  0.2200000       6.800000      8.0212541E-02
  0.2200000       7.000000      7.8364722E-02
  0.2200000       7.200000      7.6607063E-02
  0.2200000       7.400000      7.4933067E-02
  0.2200000       7.600000      7.3336512E-02
  0.2200000       7.800000      7.1812585E-02
  0.2200000       8.000000      7.0356570E-02
  0.2200000       8.200000      6.8963714E-02
  0.2200000       8.400001      6.7629777E-02
  0.2200000       8.600000      6.6351525E-02
  0.2200000       8.800000      6.5125562E-02
  0.2200000       9.000000      6.3948072E-02
  0.2200000       9.200000      6.2817752E-02
  0.2200000       9.400001      6.1730858E-02
  0.2200000       9.600000      6.0683742E-02
  0.2200000       9.800000      5.9675019E-02
  0.2200000       10.00000      5.8718633E-02
  0.2200000       10.20000      5.7810448E-02
  0.2200000       10.40000      5.6946702E-02
  0.2200000       10.60000      5.6124114E-02
  0.2200000       10.80000      5.5339649E-02
  0.2200000       11.00000      5.4590594E-02
  0.2200000       11.20000      5.3874470E-02
  0.2200000       11.40000      5.3189084E-02
  0.2200000       11.60000      5.2532356E-02
  0.2200000       11.80000      5.1902462E-02
  0.2200000       12.00000      5.1297676E-02
  0.2200000       12.20000      5.0716460E-02
  0.2200000       12.40000      5.0157405E-02
  0.2200000       12.60000      4.9619187E-02
  0.2200000       12.80000      4.9100596E-02
  0.2200000       13.00000      4.8600487E-02
  0.2200000       13.20000      4.8117884E-02
  0.2200000       13.40000      4.7651809E-02
  0.2200000       13.60000      4.7201362E-02
  0.2200000       13.80000      4.6765745E-02
  0.2200000       14.00000      4.6344183E-02
  0.2200000       14.20000      4.5935966E-02
  0.2200000       14.40000      4.5540437E-02
  0.2200000       14.60000      4.5156971E-02
